,epoch,train/eval,batch_size,loss,acc
0,0,train,32,21.973840713500977,
0,0,train,32,22.109546661376953,
0,0,train,32,22.147722244262695,
0,0,train,32,21.990306854248047,
0,0,train,32,22.111543655395508,
0,0,train,32,21.879623413085938,
0,0,train,32,21.49079704284668,
0,0,train,32,22.037059783935547,
0,0,train,32,21.654239654541016,
0,0,train,32,21.861366271972656,
0,0,train,32,21.670589447021484,
0,0,train,32,22.14376449584961,
0,0,train,32,21.90346336364746,
0,0,train,32,21.929454803466797,
0,0,train,32,21.610992431640625,
0,0,train,32,22.131771087646484,
0,0,train,32,21.997234344482422,
0,0,train,32,21.88248062133789,
0,0,train,32,21.782188415527344,
0,0,train,32,21.6908016204834,
0,0,train,32,21.748886108398438,
0,0,train,32,22.013565063476562,
0,0,train,32,22.075641632080078,
0,0,train,32,21.74700164794922,
0,0,train,32,21.62542724609375,
0,0,train,32,21.768089294433594,
0,0,train,32,21.659988403320312,
0,0,train,32,21.726654052734375,
0,0,train,32,21.688766479492188,
0,0,train,32,21.92315673828125,
0,0,train,32,21.985763549804688,
0,0,train,32,21.922836303710938,
0,0,train,32,21.768054962158203,
0,0,train,32,21.739748001098633,
0,0,train,32,21.568885803222656,
0,0,train,32,22.195968627929688,
0,0,train,32,22.087371826171875,
0,0,train,32,22.068771362304688,
0,0,train,32,21.86937713623047,
0,0,train,32,21.721372604370117,
0,0,train,32,21.51784324645996,
0,0,train,32,22.259418487548828,
0,0,train,32,21.854793548583984,
0,0,train,32,21.60554313659668,
0,0,train,32,21.898170471191406,
0,0,train,32,21.858726501464844,
0,0,train,32,21.69254493713379,
0,0,train,32,21.705345153808594,
0,0,train,32,21.815441131591797,
0,0,train,32,21.892295837402344,
0,0,train,32,21.684823989868164,
0,0,train,32,21.806819915771484,
0,0,train,32,21.824138641357422,
0,0,train,32,21.75481414794922,
0,0,train,32,21.712871551513672,
0,0,train,32,21.55325698852539,
0,0,train,32,21.793087005615234,
0,0,train,32,22.048233032226562,
0,0,train,32,21.86008644104004,
0,0,train,32,22.093849182128906,
0,0,train,32,21.655500411987305,
0,0,train,32,21.832382202148438,
0,0,train,32,21.698562622070312,
0,0,train,32,21.665401458740234,
0,0,train,32,21.75464630126953,
0,0,train,32,21.939414978027344,
0,0,train,32,21.945331573486328,
0,0,train,32,21.72247314453125,
0,0,train,32,21.760339736938477,
0,0,train,32,22.101659774780273,
0,0,train,32,21.977092742919922,
0,0,train,32,21.622650146484375,
0,0,train,32,21.834842681884766,
0,0,train,32,22.018207550048828,
0,0,train,32,21.92055892944336,
0,0,train,32,21.791717529296875,
0,0,train,32,22.16905975341797,
0,0,train,32,21.887592315673828,
0,0,train,32,22.055376052856445,
0,0,train,32,22.08595085144043,
0,0,train,32,21.62334442138672,
0,0,train,32,22.073955535888672,
0,0,train,32,21.79598045349121,
0,0,train,32,22.186138153076172,
0,0,train,32,21.497264862060547,
0,0,train,32,21.752742767333984,
0,0,train,32,21.933958053588867,
0,0,train,32,21.74317169189453,
0,0,train,32,21.92864990234375,
0,0,train,32,21.62071990966797,
0,0,train,32,21.49578094482422,
0,0,train,32,21.862022399902344,
0,0,train,32,21.79461669921875,
0,0,train,32,21.553070068359375,
0,0,train,32,21.576326370239258,
0,0,train,32,21.683181762695312,
0,0,train,32,21.872079849243164,
0,0,train,32,21.86016273498535,
0,0,train,32,22.11002540588379,
0,0,train,32,21.67864418029785,
0,0,train,32,21.922733306884766,
0,0,train,32,21.522891998291016,
0,0,train,32,21.525819778442383,
0,0,train,32,22.02286148071289,
0,0,train,32,21.384931564331055,
0,0,train,32,21.664440155029297,
0,0,train,32,21.7808895111084,
0,0,train,32,21.649654388427734,
0,0,train,32,21.622222900390625,
0,0,train,32,21.84264373779297,
0,0,train,32,21.9365234375,
0,0,train,32,21.809669494628906,
0,0,train,32,22.090425491333008,
0,0,train,32,21.729907989501953,
0,0,train,32,21.964569091796875,
0,0,train,32,21.520620346069336,
0,0,train,32,21.78549575805664,
0,0,train,32,21.70883560180664,
0,0,train,32,21.86020278930664,
0,0,train,32,21.678226470947266,
0,0,train,32,21.565650939941406,
0,0,train,32,21.813735961914062,
0,0,train,32,21.439430236816406,
0,0,train,32,21.48482322692871,
0,0,train,32,21.631179809570312,
0,0,train,32,21.97305679321289,
0,0,train,32,21.781593322753906,
0,0,train,32,21.486042022705078,
0,0,train,32,21.9016170501709,
0,0,train,32,21.973472595214844,
0,0,train,32,21.601764678955078,
0,0,train,32,21.42924690246582,
0,0,train,32,22.08674430847168,
0,0,train,32,22.014774322509766,
0,0,train,32,21.78705596923828,
0,0,train,32,22.041606903076172,
0,0,train,32,21.896020889282227,
0,0,train,32,21.67926788330078,
0,0,train,32,21.538402557373047,
0,0,train,32,21.70349884033203,
0,0,train,32,21.88173484802246,
0,0,train,32,22.22136878967285,
0,0,train,32,21.860198974609375,
0,0,train,32,21.588088989257812,
0,0,train,32,21.916183471679688,
0,0,train,32,21.607833862304688,
0,0,train,32,21.68197250366211,
0,0,train,32,21.55569839477539,
0,0,train,32,21.577043533325195,
0,0,train,32,21.581172943115234,
0,0,train,32,21.907020568847656,
0,0,train,32,21.408859252929688,
0,0,train,32,21.530445098876953,
0,0,train,32,21.790912628173828,
0,0,train,32,21.702457427978516,
0,0,train,32,21.473060607910156,
0,0,train,32,21.8282470703125,
0,0,train,32,21.820964813232422,
0,0,train,32,21.687408447265625,
0,0,train,32,21.599227905273438,
0,0,train,32,21.923194885253906,
0,0,train,32,21.577041625976562,
0,0,train,32,21.831817626953125,
0,0,train,32,21.50821876525879,
0,0,train,32,21.562671661376953,
0,0,train,32,21.759231567382812,
0,0,train,32,21.71161651611328,
0,0,train,32,21.5085506439209,
0,0,train,32,21.68943977355957,
0,0,train,32,21.64086151123047,
0,0,train,32,21.88662338256836,
0,0,train,32,21.751548767089844,
0,0,train,32,21.646526336669922,
0,0,train,32,21.804704666137695,
0,0,train,32,21.429798126220703,
